url_length,num_params,param_length,suspicious_keywords,special_chars,method_GET
26,3,49,0,0,1.0
25,1,18,1,0,1.0
26,1,5,0,0,1.0
25,1,6,0,0,1.0
26,3,51,0,0,1.0
26,3,48,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
25,1,11,0,2,1.0
26,1,5,0,0,1.0
24,2,19,0,0,1.0
26,3,43,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
25,1,27,2,6,1.0
19,0,0,0,0,1.0
24,2,39,2,0,1.0
24,2,23,0,0,1.0
26,3,52,0,0,1.0
26,1,5,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
24,2,19,0,0,1.0
26,1,5,0,0,1.0
26,3,53,0,0,1.0
24,2,19,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,3,48,0,0,1.0
26,3,41,0,0,1.0
19,0,0,0,0,1.0
26,3,44,0,0,1.0
26,3,46,0,0,1.0
24,2,19,0,0,1.0
26,3,51,0,0,1.0
26,3,52,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,3,45,0,0,1.0
24,2,24,0,0,1.0
25,1,18,0,0,1.0
24,2,19,0,0,1.0
25,1,27,2,0,1.0
25,1,14,0,0,1.0
24,2,53,1,0,1.0
19,0,0,0,0,1.0
26,3,47,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
24,2,24,0,0,1.0
26,3,45,0,0,1.0
25,1,14,0,0,1.0
24,2,30,1,0,1.0
24,2,24,0,0,1.0
25,1,6,0,0,1.0
24,2,24,0,0,1.0
24,2,39,2,6,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,22,0,0,1.0
26,3,43,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,17,0,0,1.0
24,2,19,0,0,1.0
26,3,51,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
26,3,51,0,0,1.0
25,1,17,0,0,1.0
24,2,22,0,0,1.0
26,3,48,0,0,1.0
25,1,18,1,0,1.0
25,1,18,0,0,1.0
26,3,47,0,0,1.0
26,3,53,0,0,1.0
24,2,22,0,0,1.0
26,3,51,0,0,1.0
26,3,47,0,0,1.0
24,2,23,0,0,1.0
24,2,23,0,0,1.0
26,3,43,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
25,1,14,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
26,1,4,0,0,1.0
26,1,5,0,0,1.0
24,2,23,0,0,1.0
19,0,0,0,0,1.0
24,2,24,0,0,1.0
26,1,5,0,0,1.0
24,2,23,0,0,1.0
24,2,24,0,0,1.0
25,1,41,1,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
26,1,4,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
26,1,5,0,0,1.0
24,2,24,0,0,1.0
24,2,23,0,0,1.0
26,3,41,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
24,2,20,1,0,1.0
26,3,46,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
24,2,19,0,0,1.0
24,2,23,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,39,2,0,1.0
24,2,24,0,0,1.0
24,2,22,0,0,1.0
26,3,44,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
25,1,6,0,0,1.0
26,1,5,0,0,1.0
26,3,53,0,0,1.0
24,2,30,1,0,1.0
25,1,8,0,0,1.0
26,1,5,0,0,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
26,3,45,0,0,1.0
19,0,0,0,0,1.0
26,3,47,0,0,1.0
25,1,18,0,0,1.0
19,0,0,0,0,1.0
24,2,23,0,0,1.0
24,2,23,0,0,1.0
26,3,49,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
25,1,17,0,0,1.0
25,1,17,0,0,1.0
26,3,57,0,0,1.0
24,2,24,0,0,1.0
26,3,49,0,0,1.0
26,1,5,0,0,1.0
24,2,20,1,0,1.0
26,3,43,0,0,1.0
25,1,6,0,0,1.0
25,1,30,4,4,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
25,1,18,0,0,1.0
24,2,39,2,0,1.0
26,1,5,0,0,1.0
26,3,45,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
25,1,8,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
24,2,24,0,0,1.0
19,0,0,0,0,1.0
25,1,18,1,0,1.0
24,2,19,0,0,1.0
26,1,5,0,0,1.0
25,1,6,0,0,1.0
26,3,41,0,0,1.0
26,3,49,0,0,1.0
25,1,6,0,0,1.0
26,1,5,0,0,1.0
25,1,41,1,0,1.0
26,1,5,0,0,1.0
26,3,53,0,0,1.0
24,2,22,0,0,1.0
24,2,23,0,0,1.0
24,2,23,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
26,3,46,0,0,1.0
24,2,22,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,41,1,0,1.0
25,1,6,0,0,1.0
25,1,18,0,0,1.0
26,3,49,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,22,0,0,1.0
25,1,17,0,0,1.0
24,2,19,0,0,1.0
24,2,23,0,0,1.0
24,2,19,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
24,2,42,4,4,1.0
25,1,6,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
26,3,47,0,0,1.0
19,0,0,0,0,1.0
26,3,44,0,0,1.0
24,2,23,0,2,1.0
25,1,17,0,0,1.0
26,3,52,0,0,1.0
24,2,19,0,0,1.0
24,2,30,1,0,1.0
26,3,41,0,0,1.0
24,2,22,0,0,1.0
26,3,43,0,0,1.0
26,3,49,0,0,1.0
25,1,14,0,0,1.0
26,3,45,0,0,1.0
25,1,6,0,0,1.0
25,1,27,2,0,1.0
25,1,17,0,0,1.0
26,3,49,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
24,2,39,2,6,1.0
24,2,19,0,0,1.0
26,1,4,0,0,1.0
26,3,47,0,0,1.0
19,0,0,0,0,1.0
26,1,4,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
26,3,49,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
24,2,39,2,6,1.0
25,1,30,4,4,1.0
25,1,8,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
24,2,22,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
26,3,45,0,0,1.0
24,2,23,0,0,1.0
26,3,57,0,0,1.0
19,0,0,0,0,1.0
25,1,8,0,0,1.0
26,3,47,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,42,4,4,1.0
26,3,41,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
24,2,42,4,4,1.0
24,2,30,1,0,1.0
26,3,47,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
24,2,23,0,0,1.0
24,2,24,0,0,1.0
26,3,53,0,0,1.0
24,2,22,0,0,1.0
25,1,18,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
25,1,14,0,0,1.0
25,1,18,0,0,1.0
19,0,0,0,0,1.0
25,1,18,0,0,1.0
26,3,47,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
25,1,8,1,0,1.0
25,1,17,0,0,1.0
25,1,41,1,0,1.0
24,2,24,0,0,1.0
24,2,24,0,0,1.0
19,0,0,0,0,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
25,1,8,1,0,1.0
26,3,44,0,0,1.0
26,1,5,0,0,1.0
24,2,19,0,0,1.0
24,2,19,0,0,1.0
24,2,25,0,2,1.0
25,1,14,0,0,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
25,1,8,0,0,1.0
26,3,57,0,0,1.0
26,1,5,0,0,1.0
25,1,27,2,6,1.0
24,2,24,0,0,1.0
26,3,45,0,0,1.0
24,2,39,2,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
24,2,24,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
24,2,24,0,0,1.0
24,2,22,0,0,1.0
25,1,8,0,0,1.0
25,1,6,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
24,2,42,4,4,1.0
24,2,22,0,0,1.0
25,1,11,0,2,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
25,1,8,0,0,1.0
24,2,23,0,2,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,3,45,0,0,1.0
26,3,45,0,0,1.0
19,0,0,0,0,1.0
25,1,30,4,4,1.0
26,3,52,0,0,1.0
25,1,14,0,0,1.0
26,3,48,0,0,1.0
24,2,23,0,2,1.0
26,3,57,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,47,0,0,1.0
26,3,46,0,0,1.0
24,2,22,0,0,1.0
24,2,24,0,0,1.0
25,1,6,0,0,1.0
24,2,24,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
25,1,14,0,0,1.0
26,3,51,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,22,0,0,1.0
26,3,46,0,0,1.0
26,3,51,0,0,1.0
19,0,0,0,0,1.0
26,3,44,0,0,1.0
24,2,39,2,6,1.0
19,0,0,0,0,1.0
24,2,23,0,0,1.0
26,3,47,0,0,1.0
26,3,52,0,0,1.0
26,3,48,0,0,1.0
26,3,49,0,0,1.0
26,1,5,0,0,1.0
26,3,48,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,39,2,0,1.0
24,2,22,0,0,1.0
26,3,52,0,0,1.0
26,1,5,0,0,1.0
24,2,39,2,0,1.0
25,1,14,0,0,1.0
26,3,49,0,0,1.0
24,2,19,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
24,2,24,0,0,1.0
26,1,5,0,0,1.0
24,2,22,0,0,1.0
26,3,47,0,0,1.0
24,2,23,0,0,1.0
24,2,22,0,0,1.0
19,0,0,0,0,1.0
24,2,19,0,0,1.0
26,1,5,0,0,1.0
25,1,17,0,0,1.0
19,0,0,0,0,1.0
26,1,4,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
25,1,18,0,0,1.0
25,1,18,0,0,1.0
24,2,39,2,0,1.0
25,1,18,0,0,1.0
26,3,53,0,0,1.0
25,1,27,2,0,1.0
26,1,5,0,0,1.0
26,3,57,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,47,0,0,1.0
25,1,27,2,0,1.0
25,1,17,0,0,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
25,1,13,0,2,1.0
26,1,5,0,0,1.0
26,3,44,0,0,1.0
24,2,23,0,0,1.0
26,3,45,0,0,1.0
26,1,5,0,0,1.0
25,1,11,0,2,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
26,3,47,0,0,1.0
25,1,6,0,0,1.0
24,2,24,0,0,1.0
19,0,0,0,0,1.0
24,2,30,1,0,1.0
24,2,24,0,0,1.0
25,1,14,0,0,1.0
26,3,47,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
26,3,43,0,0,1.0
24,2,19,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,3,41,0,0,1.0
26,3,57,0,0,1.0
19,0,0,0,0,1.0
26,3,44,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
26,3,49,0,0,1.0
24,2,24,0,0,1.0
25,1,8,0,0,1.0
25,1,18,0,0,1.0
26,3,52,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
25,1,8,0,0,1.0
25,1,8,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
24,2,19,0,0,1.0
25,1,11,0,2,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
25,1,6,0,0,1.0
26,3,49,0,0,1.0
19,0,0,0,0,1.0
26,3,57,0,0,1.0
19,0,0,0,0,1.0
25,1,18,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
24,2,19,0,0,1.0
25,1,27,2,6,1.0
25,1,8,0,0,1.0
26,3,57,0,0,1.0
26,1,5,0,0,1.0
24,2,30,1,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
25,1,14,0,0,1.0
26,3,53,0,0,1.0
25,1,18,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
25,1,18,0,0,1.0
24,2,23,0,2,1.0
24,2,19,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,3,44,0,0,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
24,2,25,0,2,1.0
24,2,19,0,0,1.0
24,2,19,0,0,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
26,3,41,0,0,1.0
24,2,23,0,0,1.0
26,3,43,0,0,1.0
25,1,14,0,0,1.0
25,1,6,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
24,2,22,0,0,1.0
26,1,4,0,0,1.0
26,3,49,0,0,1.0
25,1,17,0,0,1.0
25,1,6,0,0,1.0
25,1,18,0,0,1.0
24,2,39,2,0,1.0
25,1,8,0,0,1.0
26,3,45,0,0,1.0
24,2,23,0,0,1.0
24,2,19,0,0,1.0
26,1,4,0,0,1.0
26,3,52,0,0,1.0
26,3,55,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
19,0,0,0,0,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
25,1,18,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,18,1,0,1.0
19,0,0,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
26,3,47,0,0,1.0
26,3,44,0,0,1.0
26,1,5,0,0,1.0
26,3,55,0,0,1.0
25,1,27,2,0,1.0
26,3,47,0,0,1.0
24,2,19,0,0,1.0
26,3,51,0,0,1.0
26,1,5,0,0,1.0
25,1,11,0,2,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
24,2,24,0,0,1.0
19,0,0,0,0,1.0
25,1,17,0,0,1.0
25,1,6,0,0,1.0
25,1,6,0,0,1.0
24,2,53,1,0,1.0
24,2,22,0,0,1.0
26,3,53,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,43,0,0,1.0
26,3,49,0,0,1.0
25,1,6,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
25,1,30,4,4,1.0
26,3,47,0,0,1.0
26,3,45,0,0,1.0
19,0,0,0,0,1.0
25,1,18,0,0,1.0
25,1,17,0,0,1.0
19,0,0,0,0,1.0
26,1,4,0,0,1.0
26,1,5,0,0,1.0
24,2,23,0,0,1.0
24,2,23,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
19,0,0,0,0,1.0
24,2,24,0,0,1.0
25,1,41,1,0,1.0
24,2,25,0,2,1.0
26,3,51,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
24,2,24,0,0,1.0
25,1,18,0,0,1.0
19,0,0,0,0,1.0
26,3,49,0,0,1.0
26,3,48,0,0,1.0
25,1,27,2,6,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
25,1,18,0,0,1.0
25,1,17,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
26,1,5,0,0,1.0
25,1,13,0,2,1.0
26,3,48,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
25,1,14,0,0,1.0
24,2,24,0,0,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
24,2,23,0,0,1.0
26,3,47,0,0,1.0
26,3,44,0,0,1.0
24,2,24,0,0,1.0
24,2,24,0,0,1.0
26,1,5,0,0,1.0
26,3,41,0,0,1.0
26,3,49,0,0,1.0
26,3,48,0,0,1.0
26,3,45,0,0,1.0
19,0,0,0,0,1.0
26,3,51,0,0,1.0
26,3,49,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,57,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
25,1,6,0,0,1.0
24,2,19,0,0,1.0
25,1,14,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
26,3,53,0,0,1.0
26,3,46,0,0,1.0
26,3,43,0,0,1.0
19,0,0,0,0,1.0
25,1,6,0,0,1.0
24,2,19,0,0,1.0
19,0,0,0,0,1.0
25,1,14,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
26,3,49,0,0,1.0
24,2,19,0,0,1.0
25,1,6,0,0,1.0
24,2,23,0,0,1.0
25,1,6,0,0,1.0
24,2,23,0,2,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,3,53,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
25,1,18,0,0,1.0
26,3,53,0,0,1.0
24,2,23,0,0,1.0
26,1,5,0,0,1.0
24,2,19,0,0,1.0
24,2,20,1,0,1.0
26,1,5,0,0,1.0
25,1,14,0,0,1.0
24,2,24,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,14,0,0,1.0
24,2,22,0,0,1.0
26,1,6,0,0,1.0
24,2,53,1,0,1.0
24,2,19,0,0,1.0
26,3,51,0,0,1.0
25,1,6,0,0,1.0
26,1,5,0,0,1.0
25,1,6,0,0,1.0
19,0,0,0,0,1.0
24,2,22,0,0,1.0
26,1,5,0,0,1.0
26,1,5,0,0,1.0
26,3,53,0,0,1.0
25,1,8,0,0,1.0
25,1,17,0,0,1.0
26,3,46,0,0,1.0
26,3,51,0,0,1.0
26,1,6,0,0,1.0
26,1,5,0,0,1.0
19,0,0,0,0,1.0
19,0,0,0,0,1.0
25,1,18,0,0,1.0
26,1,5,0,0,1.0
24,2,24,0,0,1.0
26,3,46,0,0,1.0
25,1,18,0,0,1.0
24,2,42,4,4,1.0
24,2,24,0,0,1.0
25,1,17,0,0,1.0
24,2,30,1,0,1.0
26,3,53,0,0,1.0
25,1,14,0,0,1.0
19,0,0,0,0,1.0
26,1,5,0,0,1.0
24,2,53,1,0,1.0
